=== Zeal Spreadsheet Baseline Extraction Report ===
Workbook : C:\Users\kandt\OneDrive - Umich\Zeal Cards\Pricing\GiftCardPricingData_2025.xlsx
Generated: 2026-05-02T21:28:33Z

Note: confidence='high' is passed to compute_prices for all rows.
Confidence affects PriceRecommendation.confidence only, not the four
numeric outputs — it does not affect any diff in this report.

--- Classification summary ---
  normal              : 265
  no_ebay_data_local  : 25
  bankrupt_broken     : 4
  section_divider     : 2
  skip_blank          : 2
  total               : 298

--- Global constants extracted ---
  ebay_sale_costs                : 0.13
  paypal_sell_costs              : 0.03
  ebay_postage_costs             : 0.01
  online_store_postage_costs     : 0.03
  online_sell_bonus_competitive  : 0.065
  online_sell_bonus_zen_nocomp   : 0.085
  in_store_bad_debt              : 0.048
  in_mail_bad_debt               : 0.02
  online_bad_debt                : 0.05

--- Merchant baseline diffs ---
 Row | Slug                           | Tier | Status   |  OS     |  IM     |  IS     |  EB     | Notes
----+--------------------------------+------+----------+---------+---------+---------+---------+--
   3 | mastercard                     | T24  | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
   4 | american_express               | T24  | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
   5 | visa                           | T24  | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
   6 | amazon                         | NC   | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
   7 | ebay                           | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
   8 | google_play                    | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
   9 | itunes                         | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  10 | apple                          | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  11 | home_depot                     | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  12 | home_depot_merch_credit_no_id  | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  13 | home_depot_merch_credit_with_id | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  14 | home_depot_estore_credit       | Z    | match    |  0.0000 |    "No" |    "No" |  0.0000 | electronic_buy_override=0.65
  15 | menards                        | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  16 | menards_rebate                 | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  17 | lowe_s                         | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  18 | lowes_merch_credit_no_id       | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  19 | bread_and_butter               | NC   | MISMATCH | !0.0187 | !0.1038 | !0.2711 | MISMATCH(ss=0.6917,eng='No') | tier missing from column G; defaulted to NC; e_bonus_unresolved: electronic_eligible forced False
  20 | best_buy                       | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  21 | bp                             | C    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  22 | chick_fil_a                    | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  23 | cvs                            | T24  | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  24 | delta                          | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  25 | dick_s_sporting_goods          | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  26 | disney                         | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  27 | dunkin_donuts                  | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  28 | harley_davidson                | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  29 | ikea                           | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  30 | ikea_merch_credit              | Z    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  31 | jimmy_john_s                   | T24  | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  32 | kohl_s                         | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  33 | kroger                         | T24  | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  34 | lululemon                      | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  35 | macy_s                         | T24  | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  36 | massage_envy                   | C    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  37 | mcdonalds                      | C    | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  38 | meijer                         | T24  | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  39 | neiman_marcus                  | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  40 | nordstrom                      | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  41 | office_depot_officemax         | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  42 | panera                         | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  43 | shell                          | T24  | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  44 | southwest                      | NC   | MISMATCH |  0.0000 |  0.0000 | !0.0280 |  0.0000 | 
  45 | speedway_food_and_merch        | NC   | MISMATCH |  0.0000 |  0.0000 | !0.0280 |  0.0000 | 
  46 | speedway_fuel                  | T24  | MISMATCH |  0.0000 |  0.0000 | !0.0280 |  0.0000 | 
  47 | staples                        | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  48 | starbucks                      | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  49 | subway                         | NC   | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  50 | target                         | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  51 | target_merch_credit            | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  52 | tj_maxx_homegoods_marshalls    | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  53 | tjm_homegoods_marshalls_merch_credit | NC   | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  54 | trader_joe_s                   | T24  | match    |  0.0000 |  0.0000 |  0.0000 |    "No" | 
  55 | verizon                        | NC   | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  56 | victoria_s_secret              | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  57 | walgreens                      | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  58 | walmart                        | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  59 | whole_foods                    | C    | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
  60 | top_cards                      | NC   | MISMATCH | !0.0184 | !0.0935 | !0.2765 | MISMATCH(ss=0.5545,eng='No') | tier missing from column G; defaulted to NC; e_bonus_unresolved: electronic_eligible forced False
  61 | amc_theaters                   | NC   | match    |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 
